"term","estimate","std.error","statistic","p.value"
"(Intercept)",229.086501760001,482.919992820352,0.474377754422816,0.639905257218955
"treated",2172.26590224,682.952003387658,3.18070068096274,0.00432414939876788
"time",271.153811189999,615.604616723765,0.44046747510289,0.663896117439016
"treated:time",2785.25517081,870.596398030239,3.19924959155788,0.00413938978135374
